"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1942","test_faq_answer_opens_after_click[5-\u0421\u0430\u043c\u043e\u043a\u0430\u0442 \u043f\u0440\u0438\u0435\u0437\u0436\u0430\u0435\u0442 \u043a \u0432\u0430\u043c \u0441 \u043f\u043e\u043b\u043d\u043e\u0439 \u0437\u0430\u0440\u044f\u0434\u043a\u043e\u0439.]","tests","2026-07-21","passed","2026-07-21","TestFAQ","test_faq","",""
"","2010","test_faq_answer_opens_after_click[4-\u041f\u043e\u043a\u0430 \u0447\u0442\u043e \u043d\u0435\u0442! \u041d\u043e \u0435\u0441\u043b\u0438 \u0447\u0442\u043e-\u0442\u043e \u0441\u0440\u043e\u0447\u043d\u043e\u0435 \u2014 \u0432\u0441\u0435\u0433\u0434\u0430 \u043c\u043e\u0436\u043d\u043e \u043f\u043e\u0437\u0432\u043e\u043d\u0438\u0442\u044c \u0432 \u043f\u043e\u0434\u0434\u0435\u0440\u0436\u043a\u0443]","tests","2026-07-21","passed","2026-07-21","TestFAQ","test_faq","",""
"","3618","test_successful_order_from_different_entry_points[bottom-order_data1]","tests","2026-07-21","passed","2026-07-21","TestOrder","test_order","",""
"","2186","test_faq_answer_opens_after_click[0-\u0421\u0443\u0442\u043a\u0438 \u2014 400 \u0440\u0443\u0431\u043b\u0435\u0439. \u041e\u043f\u043b\u0430\u0442\u0430 \u043a\u0443\u0440\u044c\u0435\u0440\u0443 \u2014 \u043d\u0430\u043b\u0438\u0447\u043d\u044b\u043c\u0438 \u0438\u043b\u0438 \u043a\u0430\u0440\u0442\u043e\u0439.]","tests","2026-07-21","passed","2026-07-21","TestFAQ","test_faq","",""
"","1919","test_faq_answer_opens_after_click[6-\u0414\u0430, \u043f\u043e\u043a\u0430 \u0441\u0430\u043c\u043e\u043a\u0430\u0442 \u043d\u0435 \u043f\u0440\u0438\u0432\u0435\u0437\u043b\u0438.]","tests","2026-07-21","passed","2026-07-21","TestFAQ","test_faq","",""
"","2111","test_scooter_logo_opens_main_page","tests","2026-07-21","passed","2026-07-21","TestLogo","test_logo","",""
"","1968","test_faq_answer_opens_after_click[3-\u0422\u043e\u043b\u044c\u043a\u043e \u043d\u0430\u0447\u0438\u043d\u0430\u044f \u0441 \u0437\u0430\u0432\u0442\u0440\u0430\u0448\u043d\u0435\u0433\u043e \u0434\u043d\u044f.]","tests","2026-07-21","passed","2026-07-21","TestFAQ","test_faq","",""
"","2143","test_faq_answer_opens_after_click[1-\u041f\u043e\u043a\u0430 \u0447\u0442\u043e \u0443 \u043d\u0430\u0441 \u0442\u0430\u043a: \u043e\u0434\u0438\u043d \u0437\u0430\u043a\u0430\u0437 \u2014 \u043e\u0434\u0438\u043d \u0441\u0430\u043c\u043e\u043a\u0430\u0442.]","tests","2026-07-21","passed","2026-07-21","TestFAQ","test_faq","",""
"","2000","test_faq_answer_opens_after_click[7-\u0414\u0430, \u043e\u0431\u044f\u0437\u0430\u0442\u0435\u043b\u044c\u043d\u043e. \u0412\u0441\u0435\u043c \u0441\u0430\u043c\u043e\u043a\u0430\u0442\u043e\u0432! \u0418 \u041c\u043e\u0441\u043a\u0432\u0435, \u0438 \u041c\u043e\u0441\u043a\u043e\u0432\u0441\u043a\u043e\u0439 \u043e\u0431\u043b\u0430\u0441\u0442\u0438.]","tests","2026-07-21","passed","2026-07-21","TestFAQ","test_faq","",""
"","2908","test_yandex_logo_opens_dzen_in_new_window","tests","2026-07-21","passed","2026-07-21","TestLogo","test_logo","",""
"","3762","test_successful_order_from_different_entry_points[top-order_data0]","tests","2026-07-21","passed","2026-07-21","TestOrder","test_order","",""
"","1992","test_faq_answer_opens_after_click[2-\u0414\u043e\u043f\u0443\u0441\u0442\u0438\u043c, \u0432\u044b \u043e\u0444\u043e\u0440\u043c\u043b\u044f\u0435\u0442\u0435 \u0437\u0430\u043a\u0430\u0437 \u043d\u0430 8 \u043c\u0430\u044f.]","tests","2026-07-21","passed","2026-07-21","TestFAQ","test_faq","",""
